,COUNTY,VAP,NAME,WVAP,AG14PD_BFR,AG14PD_ABR,AG14PD_JCA,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,AG14PDNone,AG14PD_BFR_pct,AG14PD_ABR_pct,AG14PD_JCA_pct,AG14PDNone_pct
218,Allegany,1719,Allegany Precinct 29-002,1637,49,7,47,82,1719,1,0.9522978475858057,0.0477021524141943,1616,0.028504944735311226,0.004072134962187318,0.027341477603257707,0.9400814426992438
219,Allegany,3235,Allegany Precinct 06-006,1942,28,6,46,1293,3235,1,0.6003091190108192,0.3996908809891808,3155,0.00865533230293663,0.0018547140649149924,0.014219474497681607,0.9752704791344667
220,Allegany,1207,Allegany Precinct 06-005,1034,48,8,43,173,1207,1,0.8566694283347142,0.14333057166528584,1108,0.03976801988400994,0.006628003314001657,0.035625517812758904,0.9179784589892295
221,Allegany,800,Allegany Precinct 06-003,740,14,5,25,60,800,1,0.925,0.075,756,0.0175,0.00625,0.03125,0.945
222,Allegany,1902,Allegany Precinct 29-001,1833,55,10,75,69,1902,1,0.9637223974763407,0.03627760252365931,1762,0.028916929547844375,0.005257623554153523,0.03943217665615142,0.9263932702418507
223,Allegany,1522,Allegany Precinct 06-001,1409,63,12,55,113,1522,1,0.9257555847568988,0.07424441524310119,1392,0.04139290407358739,0.00788436268068331,0.03613666228646518,0.9145860709592641
224,Allegany,1679,Allegany Precinct 20-000,1648,19,3,25,31,1679,1,0.9815366289458011,0.01846337105419893,1632,0.011316259678379988,0.001786777843954735,0.014889815366289458,0.9720071471113758
225,Allegany,928,Allegany Precinct 04-005,911,11,3,18,17,928,1,0.9816810344827587,0.018318965517241378,896,0.011853448275862068,0.003232758620689655,0.01939655172413793,0.9655172413793104
226,Allegany,1457,Allegany Precinct 04-003,1352,24,8,28,105,1457,1,0.9279341111873713,0.0720658888126287,1397,0.016472203157172273,0.00549073438572409,0.019217570350034317,0.9588194921070693
227,Allegany,1118,Allegany Precinct 04-002,951,9,4,14,167,1118,1,0.8506261180679785,0.14937388193202147,1091,0.008050089445438283,0.0035778175313059034,0.012522361359570662,0.9758497316636852
228,Allegany,1603,Allegany Precinct 04-008,1511,37,9,38,92,1603,1,0.9426076107298814,0.05739238927011853,1519,0.023081721771678103,0.0056144728633811605,0.023705552089831567,0.9475982532751092
229,Allegany,1425,Allegany Precinct 04-004,1355,50,11,59,70,1425,1,0.9508771929824561,0.04912280701754386,1305,0.03508771929824561,0.0077192982456140355,0.041403508771929824,0.9157894736842105
230,Allegany,856,Allegany Precinct 14-000,766,16,4,24,90,856,1,0.8948598130841121,0.10514018691588785,812,0.018691588785046728,0.004672897196261682,0.028037383177570093,0.9485981308411215
231,Allegany,1491,Allegany Precinct 05-004,1387,20,9,47,104,1491,1,0.9302481556002683,0.06975184439973173,1415,0.01341381623071764,0.006036217303822937,0.031522468142186455,0.9490274983232729
232,Allegany,2358,Allegany Precinct 23-000,2120,48,12,61,238,2358,1,0.899067005937235,0.10093299406276506,2237,0.020356234096692113,0.005089058524173028,0.02586938083121289,0.9486853265479219
233,Allegany,624,Allegany Precinct 05-006,619,9,3,21,5,624,1,0.9919871794871795,0.008012820512820512,591,0.014423076923076924,0.004807692307692308,0.03365384615384615,0.9471153846153846
234,Allegany,2552,Allegany Precinct 22-001,2173,30,10,43,379,2552,1,0.8514890282131662,0.14851097178683387,2469,0.011755485893416929,0.003918495297805642,0.016849529780564265,0.9674764890282131
235,Allegany,3185,Allegany Precinct 16-000,1973,20,9,42,1212,3185,1,0.6194662480376766,0.38053375196232336,3114,0.006279434850863423,0.00282574568288854,0.013186813186813187,0.9777080062794349
236,Allegany,1346,Allegany Precinct 34-000,1324,51,13,39,22,1346,1,0.9836552748885586,0.01634472511144131,1243,0.03789004457652303,0.009658246656760773,0.02897473997028232,0.9234769687964339
237,Allegany,956,Allegany Precinct 21-000,934,17,6,27,22,956,1,0.9769874476987448,0.02301255230125523,906,0.01778242677824268,0.006276150627615063,0.028242677824267783,0.9476987447698745
238,Allegany,944,Allegany Precinct 02-000,924,10,5,20,20,944,1,0.9788135593220338,0.0211864406779661,909,0.01059322033898305,0.005296610169491525,0.0211864406779661,0.9629237288135594
239,Allegany,852,Allegany Precinct 03-000,839,7,1,17,13,852,1,0.9847417840375586,0.015258215962441314,827,0.008215962441314555,0.0011737089201877935,0.01995305164319249,0.9706572769953051
240,Allegany,746,Allegany Precinct 01-000,734,14,6,13,12,746,1,0.9839142091152815,0.0160857908847185,713,0.01876675603217158,0.00804289544235925,0.01742627345844504,0.9557640750670241
265,Allegany,2806,Allegany Precinct 08-000,2755,37,11,66,51,2806,1,0.9818246614397719,0.018175338560228082,2692,0.013186029935851747,0.003920171062009979,0.023521026372059873,0.9593727726300784
266,Allegany,1114,Allegany Precinct 09-000,1103,6,4,16,11,1114,1,0.9901256732495511,0.009874326750448833,1088,0.005385996409335727,0.003590664272890485,0.01436265709156194,0.9766606822262118
267,Allegany,1650,Allegany Precinct 10-000,1628,10,4,21,22,1650,1,0.9866666666666667,0.013333333333333334,1615,0.006060606060606061,0.0024242424242424242,0.012727272727272728,0.9787878787878788
268,Allegany,1273,Allegany Precinct 31-000,1251,14,4,30,22,1273,1,0.9827179890023566,0.01728201099764336,1225,0.010997643362136685,0.003142183817753339,0.02356637863315004,0.9622937941869599
273,Allegany,1685,Allegany Precinct 18-000,1660,20,11,42,25,1685,1,0.9851632047477745,0.01483679525222552,1612,0.011869436201780416,0.006528189910979229,0.024925816023738872,0.9566765578635015
274,Allegany,4960,Allegany Precinct 26-000,3677,81,10,68,1283,4960,1,0.7413306451612903,0.2586693548387097,4801,0.016330645161290323,0.0020161290322580645,0.013709677419354839,0.9679435483870967
275,Allegany,1016,Allegany Precinct 11-000,971,36,6,45,45,1016,1,0.9557086614173228,0.04429133858267716,929,0.03543307086614173,0.005905511811023622,0.04429133858267716,0.9143700787401575
276,Allegany,2829,Allegany Precinct 12-000,2623,54,16,62,206,2829,1,0.9271827500883705,0.07281724991162955,2697,0.019088016967126194,0.005655708731000354,0.02191587133262637,0.953340402969247
277,Allegany,1572,Allegany Precinct 24-000,1544,27,8,27,28,1572,1,0.9821882951653944,0.017811704834605598,1510,0.01717557251908397,0.005089058524173028,0.01717557251908397,0.960559796437659
278,Allegany,1653,Allegany Precinct 07-002,1584,41,12,42,69,1653,1,0.9582577132486388,0.041742286751361164,1558,0.024803387779794312,0.007259528130671506,0.025408348457350273,0.9425287356321839
