,COUNTY,VAP,NAME,WVAP,AG14D,AG14R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,AG14None,AG14D_pct,AG14R_pct,AG14None_pct
0,Somerset,404,Somerset Precinct 02-001,324,68,130,80,404,1.0,0.801980198019802,0.19801980198019803,206,0.16831683168316833,0.3217821782178218,0.5099009900990099
1,Somerset,726,Somerset Precinct 05-001,591,129,255,135,726,1.0,0.8140495867768595,0.1859504132231405,342,0.17768595041322313,0.3512396694214876,0.47107438016528924
2,Somerset,1165,Somerset Precinct 03-001,861,173,360,304,1165,1.0,0.7390557939914163,0.2609442060085837,632,0.14849785407725322,0.3090128755364807,0.542489270386266
3,Somerset,217,Somerset Precinct 13-003,159,28,67,58,217,1.0,0.7327188940092166,0.2672811059907834,122,0.12903225806451613,0.3087557603686636,0.5622119815668203
4,Somerset,3664,Somerset Precinct 13-002,1072,60,81,2592,3664,1.0,0.2925764192139738,0.7074235807860262,3523,0.016375545851528384,0.02210698689956332,0.9615174672489083
5,Somerset,151,Somerset Precinct 13-001,122,17,48,29,151,1.0,0.8079470198675497,0.19205298013245034,86,0.11258278145695365,0.31788079470198677,0.5695364238410596
6,Somerset,2355,Somerset Precinct 01-002,1257,348,300,1098,2355,1.0,0.5337579617834395,0.4662420382165605,1707,0.14777070063694267,0.12738853503184713,0.7248407643312101
7,Somerset,186,Somerset Precinct 01-003,56,60,41,130,186,1.0,0.3010752688172043,0.6989247311827957,85,0.3225806451612903,0.22043010752688172,0.45698924731182794
8,Somerset,1267,Somerset Precinct 15-002,234,233,75,1033,1267,1.0,0.18468823993685873,0.8153117600631413,959,0.18389897395422258,0.05919494869771113,0.7569060773480663
9,Somerset,1039,Somerset Precinct 01-001,633,127,131,406,1039,1.0,0.6092396535129933,0.39076034648700675,781,0.12223291626564003,0.1260827718960539,0.7516843118383061
10,Somerset,3771,Somerset Precinct 15-001,692,166,111,3079,3771,1.0,0.18350570140546274,0.8164942985945373,3494,0.04402015380535667,0.0294351630867144,0.9265446831079289
11,Worcester,2315,Worcester Precinct 01-001,1155,810,1114,1160,2315,1.0,0.49892008639308855,0.5010799136069114,391,0.34989200863930886,0.4812095032397408,0.16889848812095032
12,Somerset,919,Somerset Precinct 04-001,711,119,253,208,919,1.0,0.7736670293797606,0.22633297062023938,547,0.1294885745375408,0.27529923830250275,0.5952121871599565
13,Dorchester,70,Dorchester Precinct 18-001,65,7,18,5,70,1.0,0.9285714285714286,0.07142857142857142,45,0.1,0.2571428571428571,0.6428571428571429
14,Dorchester,49,Dorchester Precinct 11-001,44,9,24,5,49,1.0,0.8979591836734694,0.10204081632653061,16,0.1836734693877551,0.4897959183673469,0.32653061224489793
15,Dorchester,145,Dorchester Precinct 13-002,79,47,22,66,145,1.0,0.5448275862068965,0.45517241379310347,76,0.32413793103448274,0.15172413793103448,0.5241379310344828
16,Dorchester,206,Dorchester Precinct 17-001,169,38,62,37,206,1.0,0.8203883495145631,0.1796116504854369,106,0.18446601941747573,0.30097087378640774,0.5145631067961165
17,Dorchester,63,Dorchester Precinct 14-002,39,15,13,24,63,1.0,0.6190476190476191,0.38095238095238093,35,0.23809523809523808,0.20634920634920634,0.5555555555555556
18,Wicomico,1349,Wicomico Precinct 17-001,1025,297,374,324,1349,1.0,0.759822090437361,0.24017790956263899,678,0.22016308376575242,0.27724240177909565,0.502594514455152
19,Dorchester,308,Dorchester Precinct 03-001,274,51,88,34,308,1.0,0.8896103896103896,0.11038961038961038,169,0.16558441558441558,0.2857142857142857,0.5487012987012987
20,Cecil,4593,Cecil Precinct 05-003,4361,583,1458,232,4593,1.0,0.9494883518397561,0.05051164816024385,2552,0.1269322882647507,0.31743958197256694,0.5556281297626824
21,Kent,1682,Kent Precinct 01-002,1494,320,511,188,1682,1.0,0.8882282996432818,0.1117717003567182,851,0.1902497027348395,0.3038049940546968,0.5059453032104637
22,Cecil,2280,Cecil Precinct 02-001,2088,297,552,192,2280,1.0,0.9157894736842105,0.08421052631578947,1431,0.13026315789473683,0.24210526315789474,0.6276315789473684
23,Cecil,2076,Cecil Precinct 02-002,1934,276,456,142,2076,1.0,0.9315992292870906,0.06840077071290944,1344,0.1329479768786127,0.21965317919075145,0.6473988439306358
24,Cecil,4897,Cecil Precinct 05-002,4539,618,1366,358,4897,1.0,0.9268940167449459,0.07310598325505412,2913,0.12619971411068,0.27894629364917295,0.594853992240147
25,Cecil,3665,Cecil Precinct 09-001,3546,347,1098,119,3665,1.0,0.9675306957708049,0.03246930422919509,2220,0.0946793997271487,0.29959072305593454,0.6057298772169167
26,Cecil,2554,Cecil Precinct 05-004,2220,245,350,334,2554,1.0,0.8692247454972593,0.1307752545027408,1959,0.09592795614722005,0.1370399373531715,0.7670321064996085
27,Cecil,4984,Cecil Precinct 05-001,4641,369,688,343,4984,1.0,0.9311797752808989,0.06882022471910113,3927,0.07403691813804174,0.13804173354735153,0.7879213483146067
