,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV14D,GOV14R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV14None,GOV14D_pct,GOV14R_pct,GOV14None_pct
0,Somerset,404,Somerset Precinct 02-001,324,74,2,46,165,4,404,1.0,0.801980198019802,0.18316831683168316,0.0049504950495049506,0.009900990099009901,193,0.11386138613861387,0.4084158415841584,0.4777227722772277
1,Somerset,726,Somerset Precinct 05-001,591,124,2,112,309,9,726,1.0,0.8140495867768595,0.17079889807162535,0.0027548209366391185,0.012396694214876033,305,0.15426997245179064,0.4256198347107438,0.4201101928374656
2,Somerset,1165,Somerset Precinct 03-001,861,208,55,137,442,41,1165,1.0,0.7390557939914163,0.17854077253218884,0.04721030042918455,0.0351931330472103,586,0.11759656652360514,0.37939914163090127,0.5030042918454936
3,Somerset,217,Somerset Precinct 13-003,159,53,5,29,75,0,217,1.0,0.7327188940092166,0.24423963133640553,0.02304147465437788,0.0,113,0.1336405529953917,0.3456221198156682,0.5207373271889401
4,Somerset,3664,Somerset Precinct 13-002,1072,2541,34,53,102,17,3664,1.0,0.2925764192139738,0.693504366812227,0.009279475982532752,0.004639737991266376,3509,0.014465065502183407,0.027838427947598252,0.9576965065502183
5,Somerset,151,Somerset Precinct 13-001,122,26,1,10,60,2,151,1.0,0.8079470198675497,0.17218543046357615,0.006622516556291391,0.013245033112582781,81,0.06622516556291391,0.3973509933774834,0.5364238410596026
6,Somerset,2355,Somerset Precinct 01-002,1257,928,129,314,378,41,2355,1.0,0.5337579617834395,0.3940552016985138,0.05477707006369427,0.01740976645435244,1663,0.13333333333333333,0.16050955414012738,0.7061571125265392
7,Somerset,186,Somerset Precinct 01-003,56,99,16,53,51,15,186,1.0,0.3010752688172043,0.532258064516129,0.08602150537634409,0.08064516129032258,82,0.2849462365591398,0.27419354838709675,0.44086021505376344
8,Somerset,1267,Somerset Precinct 15-002,234,950,37,216,98,46,1267,1.0,0.18468823993685873,0.749802683504341,0.02920284135753749,0.036306235201262825,953,0.17048145224940806,0.07734806629834254,0.7521704814522494
9,Somerset,1039,Somerset Precinct 01-001,633,349,24,121,166,33,1039,1.0,0.6092396535129933,0.33589990375360923,0.023099133782483156,0.03176130895091434,752,0.11645813282001925,0.15976900866217517,0.7237728585178056
10,Somerset,3771,Somerset Precinct 15-001,692,2874,91,156,136,114,3771,1.0,0.18350570140546274,0.762132060461416,0.02413153009811721,0.030230708035003977,3479,0.04136833731105807,0.03606470432246089,0.9225669583664811
11,Worcester,2315,Worcester Precinct 01-001,1155,1077,30,736,1270,53,2315,1.0,0.49892008639308855,0.4652267818574514,0.012958963282937365,0.022894168466522678,309,0.31792656587473,0.5485961123110151,0.13347732181425487
12,Somerset,919,Somerset Precinct 04-001,711,170,8,102,305,30,919,1.0,0.7736670293797606,0.18498367791077258,0.008705114254624592,0.03264417845484222,512,0.11099020674646355,0.33188248095756256,0.5571273122959739
13,Dorchester,70,Dorchester Precinct 18-001,65,0,0,4,26,5,70,1.0,0.9285714285714286,0.0,0.0,0.07142857142857142,40,0.05714285714285714,0.37142857142857144,0.5714285714285714
14,Dorchester,49,Dorchester Precinct 11-001,44,0,3,9,27,2,49,1.0,0.8979591836734694,0.0,0.061224489795918366,0.04081632653061224,13,0.1836734693877551,0.5510204081632653,0.2653061224489796
15,Dorchester,145,Dorchester Precinct 13-002,79,66,0,45,26,0,145,1.0,0.5448275862068965,0.45517241379310347,0.0,0.0,74,0.3103448275862069,0.1793103448275862,0.5103448275862069
