,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN16PD_CV,SEN16PD_DE,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN16PDNone,SEN16PD_CV_pct,SEN16PD_DE_pct,SEN16PDNone_pct
0,Somerset,404,Somerset Precinct 02-001,324,74,2,19,17,4,404,1,0.801980198019802,0.18316831683168316,0.0049504950495049506,0.009900990099009901,368,0.04702970297029703,0.04207920792079208,0.9108910891089109
1,Somerset,726,Somerset Precinct 05-001,591,124,2,38,36,9,726,1,0.8140495867768595,0.17079889807162535,0.0027548209366391185,0.012396694214876033,652,0.05234159779614325,0.049586776859504134,0.8980716253443526
2,Somerset,1165,Somerset Precinct 03-001,861,208,55,62,38,41,1165,1,0.7390557939914163,0.17854077253218884,0.04721030042918455,0.0351931330472103,1065,0.05321888412017167,0.03261802575107296,0.9141630901287554
3,Somerset,217,Somerset Precinct 13-003,159,53,5,9,6,0,217,1,0.7327188940092166,0.24423963133640553,0.02304147465437788,0.0,202,0.041474654377880185,0.027649769585253458,0.9308755760368663
4,Somerset,3664,Somerset Precinct 13-002,1072,2541,34,13,12,17,3664,1,0.2925764192139738,0.693504366812227,0.009279475982532752,0.004639737991266376,3639,0.0035480349344978166,0.0032751091703056767,0.9931768558951966
5,Somerset,151,Somerset Precinct 13-001,122,26,1,5,3,2,151,1,0.8079470198675497,0.17218543046357615,0.006622516556291391,0.013245033112582781,143,0.033112582781456956,0.019867549668874173,0.9470198675496688
6,Somerset,2355,Somerset Precinct 01-002,1257,928,129,85,101,41,2355,1,0.5337579617834395,0.3940552016985138,0.05477707006369427,0.01740976645435244,2169,0.036093418259023353,0.042887473460721866,0.9210191082802548
7,Somerset,186,Somerset Precinct 01-003,56,99,16,15,19,15,186,1,0.3010752688172043,0.532258064516129,0.08602150537634409,0.08064516129032258,152,0.08064516129032258,0.10215053763440861,0.8172043010752689
8,Somerset,1267,Somerset Precinct 15-002,234,950,37,48,68,46,1267,1,0.18468823993685873,0.749802683504341,0.02920284135753749,0.036306235201262825,1151,0.037884767166535126,0.05367008681925809,0.9084451460142068
9,Somerset,1039,Somerset Precinct 01-001,633,349,24,49,44,33,1039,1,0.6092396535129933,0.33589990375360923,0.023099133782483156,0.03176130895091434,946,0.04716073147256978,0.04234841193455245,0.9104908565928778
10,Somerset,3771,Somerset Precinct 15-001,692,2874,91,39,47,114,3771,1,0.18350570140546274,0.762132060461416,0.02413153009811721,0.030230708035003977,3685,0.010342084327764518,0.012463537523203394,0.9771943781490321
11,Worcester,2315,Worcester Precinct 01-001,1155,1077,30,295,219,53,2315,1,0.49892008639308855,0.4652267818574514,0.012958963282937365,0.022894168466522678,1801,0.12742980561555076,0.09460043196544277,0.7779697624190065
12,Somerset,919,Somerset Precinct 04-001,711,170,8,45,23,30,919,1,0.7736670293797606,0.18498367791077258,0.008705114254624592,0.03264417845484222,851,0.04896626768226333,0.025027203482045703,0.926006528835691
13,Dorchester,70,Dorchester Precinct 18-001,65,0,0,3,2,5,70,1,0.9285714285714286,0.0,0.0,0.07142857142857142,65,0.04285714285714286,0.02857142857142857,0.9285714285714286
14,Dorchester,49,Dorchester Precinct 11-001,44,0,3,3,2,2,49,1,0.8979591836734694,0.0,0.061224489795918366,0.04081632653061224,44,0.061224489795918366,0.04081632653061224,0.8979591836734694
15,Dorchester,145,Dorchester Precinct 13-002,79,66,0,13,17,0,145,1,0.5448275862068965,0.45517241379310347,0.0,0.0,115,0.0896551724137931,0.11724137931034483,0.7931034482758621
