,COUNTY,VAP,NAME,WVAP,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,GOV14PDNone,GOV14PD_AB_pct,GOV14PD_DG_pct,GOV14PD_HM_pct,GOV14PDNone_pct
0,Somerset,404,Somerset Precinct 02-001,324,26,11,1,80,404,1,0.801980198019802,0.19801980198019803,366,0.06435643564356436,0.027227722772277228,0.0024752475247524753,0.905940594059406
1,Somerset,726,Somerset Precinct 05-001,591,33,27,9,135,726,1,0.8140495867768595,0.1859504132231405,657,0.045454545454545456,0.0371900826446281,0.012396694214876033,0.9049586776859504
2,Somerset,1165,Somerset Precinct 03-001,861,32,19,4,304,1165,1,0.7390557939914163,0.2609442060085837,1110,0.027467811158798282,0.01630901287553648,0.0034334763948497852,0.9527896995708155
3,Somerset,217,Somerset Precinct 13-003,159,4,2,0,58,217,1,0.7327188940092166,0.2672811059907834,211,0.018433179723502304,0.009216589861751152,0.0,0.9723502304147466
4,Somerset,3664,Somerset Precinct 13-002,1072,14,3,0,2592,3664,1,0.2925764192139738,0.7074235807860262,3647,0.003820960698689956,0.0008187772925764192,0.0,0.9953602620087336
5,Somerset,151,Somerset Precinct 13-001,122,2,0,0,29,151,1,0.8079470198675497,0.19205298013245034,149,0.013245033112582781,0.0,0.0,0.9867549668874173
6,Somerset,2355,Somerset Precinct 01-002,1257,116,26,4,1098,2355,1,0.5337579617834395,0.4662420382165605,2209,0.04925690021231423,0.011040339702760084,0.0016985138004246285,0.9380042462845011
7,Somerset,186,Somerset Precinct 01-003,56,13,5,3,130,186,1,0.3010752688172043,0.6989247311827957,165,0.06989247311827956,0.026881720430107527,0.016129032258064516,0.8870967741935484
8,Somerset,1267,Somerset Precinct 15-002,234,59,15,4,1033,1267,1,0.18468823993685873,0.8153117600631413,1189,0.04656669297553275,0.011838989739542225,0.0031570639305445935,0.9384372533543804
9,Somerset,1039,Somerset Precinct 01-001,633,49,12,2,406,1039,1,0.6092396535129933,0.39076034648700675,976,0.04716073147256978,0.011549566891241578,0.0019249278152069298,0.9393647738209817
10,Somerset,3771,Somerset Precinct 15-001,692,47,10,2,3079,3771,1,0.18350570140546274,0.8164942985945373,3712,0.012463537523203394,0.0026518164942985947,0.0005303632988597189,0.9843542826836383
11,Worcester,2315,Worcester Precinct 01-001,1155,194,60,20,1160,2315,1,0.49892008639308855,0.5010799136069114,2041,0.08380129589632829,0.02591792656587473,0.008639308855291577,0.8816414686825054
12,Somerset,919,Somerset Precinct 04-001,711,23,13,4,208,919,1,0.7736670293797606,0.22633297062023938,879,0.025027203482045703,0.014145810663764961,0.004352557127312296,0.956474428726877
13,Dorchester,70,Dorchester Precinct 18-001,65,1,4,0,5,70,1,0.9285714285714286,0.07142857142857142,65,0.014285714285714285,0.05714285714285714,0.0,0.9285714285714286
14,Dorchester,49,Dorchester Precinct 11-001,44,4,2,3,5,49,1,0.8979591836734694,0.10204081632653061,40,0.08163265306122448,0.04081632653061224,0.061224489795918366,0.8163265306122449
15,Dorchester,145,Dorchester Precinct 13-002,79,15,4,0,66,145,1,0.5448275862068965,0.45517241379310347,126,0.10344827586206896,0.027586206896551724,0.0,0.8689655172413793
16,Dorchester,206,Dorchester Precinct 17-001,169,14,6,0,37,206,1,0.8203883495145631,0.1796116504854369,186,0.06796116504854369,0.02912621359223301,0.0,0.9029126213592233
17,Dorchester,63,Dorchester Precinct 14-002,39,6,2,0,24,63,1,0.6190476190476191,0.38095238095238093,55,0.09523809523809523,0.031746031746031744,0.0,0.873015873015873
18,Wicomico,1349,Wicomico Precinct 17-001,1025,72,31,16,324,1349,1,0.759822090437361,0.24017790956263899,1230,0.05337286879169755,0.022979985174203115,0.011860637509266123,0.9117865085248332
19,Dorchester,308,Dorchester Precinct 03-001,274,15,10,7,34,308,1,0.8896103896103896,0.11038961038961038,276,0.048701298701298704,0.032467532467532464,0.022727272727272728,0.8961038961038961
20,Cecil,4593,Cecil Precinct 05-003,4361,84,101,79,232,4593,1,0.9494883518397561,0.05051164816024385,4329,0.018288700195950358,0.021989984759416503,0.017200087089048553,0.9425212279555846
21,Kent,1682,Kent Precinct 01-002,1494,39,40,75,188,1682,1,0.8882282996432818,0.1117717003567182,1528,0.02318668252080856,0.023781212841854936,0.044589774078478,0.9084423305588585
22,Cecil,2280,Cecil Precinct 02-001,2088,49,49,47,192,2280,1,0.9157894736842105,0.08421052631578947,2135,0.02149122807017544,0.02149122807017544,0.0206140350877193,0.9364035087719298
23,Cecil,2076,Cecil Precinct 02-002,1934,44,46,34,142,2076,1,0.9315992292870906,0.06840077071290944,1952,0.02119460500963391,0.022157996146435453,0.016377649325626204,0.9402697495183044
24,Cecil,4897,Cecil Precinct 05-002,4539,47,48,57,358,4897,1,0.9268940167449459,0.07310598325505412,4745,0.009597712885440065,0.009801919542577088,0.011639779456810292,0.9689605881151726
25,Cecil,3665,Cecil Precinct 09-001,3546,35,50,37,119,3665,1,0.9675306957708049,0.03246930422919509,3543,0.009549795361527967,0.013642564802182811,0.010095497953615279,0.966712141882674
26,Cecil,2554,Cecil Precinct 05-004,2220,51,35,34,334,2554,1,0.8692247454972593,0.1307752545027408,2434,0.019968676585747847,0.01370399373531715,0.01331245105716523,0.9530148786217698
