,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,COMP14D,COMP14R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,COMP14None,COMP14D_pct,COMP14R_pct,COMP14None_pct
0,Somerset,404,Somerset Precinct 02-001,324,74,2,93,111,4,404,1.0,0.801980198019802,0.18316831683168316,0.0049504950495049506,0.009900990099009901,200,0.2301980198019802,0.2747524752475248,0.49504950495049505
1,Somerset,726,Somerset Precinct 05-001,591,124,2,173,235,9,726,1.0,0.8140495867768595,0.17079889807162535,0.0027548209366391185,0.012396694214876033,318,0.23829201101928374,0.3236914600550964,0.4380165289256198
2,Somerset,1165,Somerset Precinct 03-001,861,208,55,235,328,41,1165,1.0,0.7390557939914163,0.17854077253218884,0.04721030042918455,0.0351931330472103,602,0.2017167381974249,0.2815450643776824,0.5167381974248927
3,Somerset,217,Somerset Precinct 13-003,159,53,5,37,63,0,217,1.0,0.7327188940092166,0.24423963133640553,0.02304147465437788,0.0,117,0.17050691244239632,0.2903225806451613,0.5391705069124424
4,Somerset,3664,Somerset Precinct 13-002,1072,2541,34,76,75,17,3664,1.0,0.2925764192139738,0.693504366812227,0.009279475982532752,0.004639737991266376,3513,0.02074235807860262,0.02046943231441048,0.9587882096069869
5,Somerset,151,Somerset Precinct 13-001,122,26,1,18,48,2,151,1.0,0.8079470198675497,0.17218543046357615,0.006622516556291391,0.013245033112582781,85,0.11920529801324503,0.31788079470198677,0.5629139072847682
6,Somerset,2355,Somerset Precinct 01-002,1257,928,129,424,273,41,2355,1.0,0.5337579617834395,0.3940552016985138,0.05477707006369427,0.01740976645435244,1658,0.1800424628450106,0.1159235668789809,0.7040339702760084
7,Somerset,186,Somerset Precinct 01-003,56,99,16,70,41,15,186,1.0,0.3010752688172043,0.532258064516129,0.08602150537634409,0.08064516129032258,75,0.3763440860215054,0.22043010752688172,0.4032258064516129
8,Somerset,1267,Somerset Precinct 15-002,234,950,37,262,74,46,1267,1.0,0.18468823993685873,0.749802683504341,0.02920284135753749,0.036306235201262825,931,0.2067876874506709,0.05840568271507498,0.7348066298342542
9,Somerset,1039,Somerset Precinct 01-001,633,349,24,162,124,33,1039,1.0,0.6092396535129933,0.33589990375360923,0.023099133782483156,0.03176130895091434,753,0.15591915303176132,0.11934552454282965,0.7247353224254091
10,Somerset,3771,Somerset Precinct 15-001,692,2874,91,211,101,114,3771,1.0,0.18350570140546274,0.762132060461416,0.02413153009811721,0.030230708035003977,3459,0.05595332802970034,0.026783346592415803,0.9172633253778838
11,Worcester,2315,Worcester Precinct 01-001,1155,1077,30,971,1053,53,2315,1.0,0.49892008639308855,0.4652267818574514,0.012958963282937365,0.022894168466522678,291,0.4194384449244061,0.4548596112311015,0.12570194384449243
12,Somerset,919,Somerset Precinct 04-001,711,170,8,152,239,30,919,1.0,0.7736670293797606,0.18498367791077258,0.008705114254624592,0.03264417845484222,528,0.16539717083786726,0.2600652883569097,0.5745375408052231
13,Dorchester,70,Dorchester Precinct 18-001,65,0,0,13,17,5,70,1.0,0.9285714285714286,0.0,0.0,0.07142857142857142,40,0.18571428571428572,0.24285714285714285,0.5714285714285714
14,Dorchester,49,Dorchester Precinct 11-001,44,0,3,13,21,2,49,1.0,0.8979591836734694,0.0,0.061224489795918366,0.04081632653061224,15,0.2653061224489796,0.42857142857142855,0.30612244897959184
