,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,GOV14PD_AB,GOV14PD_DG,GOV14PD_HM,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,GOV14PDNone,GOV14PD_AB_pct,GOV14PD_DG_pct,GOV14PD_HM_pct,GOV14PDNone_pct
0,Somerset,404,Somerset Precinct 02-001,324,74,2,26,11,1,4,404,1,0.801980198019802,0.18316831683168316,0.0049504950495049506,0.009900990099009901,366,0.06435643564356436,0.027227722772277228,0.0024752475247524753,0.905940594059406
1,Somerset,726,Somerset Precinct 05-001,591,124,2,33,27,9,9,726,1,0.8140495867768595,0.17079889807162535,0.0027548209366391185,0.012396694214876033,657,0.045454545454545456,0.0371900826446281,0.012396694214876033,0.9049586776859504
2,Somerset,1165,Somerset Precinct 03-001,861,208,55,32,19,4,41,1165,1,0.7390557939914163,0.17854077253218884,0.04721030042918455,0.0351931330472103,1110,0.027467811158798282,0.01630901287553648,0.0034334763948497852,0.9527896995708155
3,Somerset,217,Somerset Precinct 13-003,159,53,5,4,2,0,0,217,1,0.7327188940092166,0.24423963133640553,0.02304147465437788,0.0,211,0.018433179723502304,0.009216589861751152,0.0,0.9723502304147466
4,Somerset,3664,Somerset Precinct 13-002,1072,2541,34,14,3,0,17,3664,1,0.2925764192139738,0.693504366812227,0.009279475982532752,0.004639737991266376,3647,0.003820960698689956,0.0008187772925764192,0.0,0.9953602620087336
5,Somerset,151,Somerset Precinct 13-001,122,26,1,2,0,0,2,151,1,0.8079470198675497,0.17218543046357615,0.006622516556291391,0.013245033112582781,149,0.013245033112582781,0.0,0.0,0.9867549668874173
6,Somerset,2355,Somerset Precinct 01-002,1257,928,129,116,26,4,41,2355,1,0.5337579617834395,0.3940552016985138,0.05477707006369427,0.01740976645435244,2209,0.04925690021231423,0.011040339702760084,0.0016985138004246285,0.9380042462845011
7,Somerset,186,Somerset Precinct 01-003,56,99,16,13,5,3,15,186,1,0.3010752688172043,0.532258064516129,0.08602150537634409,0.08064516129032258,165,0.06989247311827956,0.026881720430107527,0.016129032258064516,0.8870967741935484
8,Somerset,1267,Somerset Precinct 15-002,234,950,37,59,15,4,46,1267,1,0.18468823993685873,0.749802683504341,0.02920284135753749,0.036306235201262825,1189,0.04656669297553275,0.011838989739542225,0.0031570639305445935,0.9384372533543804
9,Somerset,1039,Somerset Precinct 01-001,633,349,24,49,12,2,33,1039,1,0.6092396535129933,0.33589990375360923,0.023099133782483156,0.03176130895091434,976,0.04716073147256978,0.011549566891241578,0.0019249278152069298,0.9393647738209817
10,Somerset,3771,Somerset Precinct 15-001,692,2874,91,47,10,2,114,3771,1,0.18350570140546274,0.762132060461416,0.02413153009811721,0.030230708035003977,3712,0.012463537523203394,0.0026518164942985947,0.0005303632988597189,0.9843542826836383
11,Worcester,2315,Worcester Precinct 01-001,1155,1077,30,194,60,20,53,2315,1,0.49892008639308855,0.4652267818574514,0.012958963282937365,0.022894168466522678,2041,0.08380129589632829,0.02591792656587473,0.008639308855291577,0.8816414686825054
12,Somerset,919,Somerset Precinct 04-001,711,170,8,23,13,4,30,919,1,0.7736670293797606,0.18498367791077258,0.008705114254624592,0.03264417845484222,879,0.025027203482045703,0.014145810663764961,0.004352557127312296,0.956474428726877
