,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN12PD_BC,SEN12PD_CM,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN12PDNone,SEN12PD_BC_pct,SEN12PD_CM_pct,SEN12PDNone_pct
0,Somerset,404,Somerset Precinct 02-001,324,74,2,12,3,4,404,1,0.801980198019802,0.18316831683168316,0.0049504950495049506,0.009900990099009901,389,0.0297029702970297,0.007425742574257425,0.9628712871287128
1,Somerset,726,Somerset Precinct 05-001,591,124,2,33,2,9,726,1,0.8140495867768595,0.17079889807162535,0.0027548209366391185,0.012396694214876033,691,0.045454545454545456,0.0027548209366391185,0.9517906336088154
2,Somerset,1165,Somerset Precinct 03-001,861,208,55,30,0,41,1165,1,0.7390557939914163,0.17854077253218884,0.04721030042918455,0.0351931330472103,1135,0.02575107296137339,0.0,0.9742489270386266
3,Somerset,217,Somerset Precinct 13-003,159,53,5,5,1,0,217,1,0.7327188940092166,0.24423963133640553,0.02304147465437788,0.0,211,0.02304147465437788,0.004608294930875576,0.9723502304147466
4,Somerset,3664,Somerset Precinct 13-002,1072,2541,34,10,0,17,3664,1,0.2925764192139738,0.693504366812227,0.009279475982532752,0.004639737991266376,3654,0.0027292576419213972,0.0,0.9972707423580786
5,Somerset,151,Somerset Precinct 13-001,122,26,1,1,0,2,151,1,0.8079470198675497,0.17218543046357615,0.006622516556291391,0.013245033112582781,150,0.006622516556291391,0.0,0.9933774834437086
6,Somerset,2355,Somerset Precinct 01-002,1257,928,129,60,6,41,2355,1,0.5337579617834395,0.3940552016985138,0.05477707006369427,0.01740976645435244,2289,0.025477707006369428,0.0025477707006369425,0.9719745222929936
7,Somerset,186,Somerset Precinct 01-003,56,99,16,15,0,15,186,1,0.3010752688172043,0.532258064516129,0.08602150537634409,0.08064516129032258,171,0.08064516129032258,0.0,0.9193548387096774
8,Somerset,1267,Somerset Precinct 15-002,234,950,37,42,4,46,1267,1,0.18468823993685873,0.749802683504341,0.02920284135753749,0.036306235201262825,1221,0.03314917127071823,0.0031570639305445935,0.9636937647987371
9,Somerset,1039,Somerset Precinct 01-001,633,349,24,26,4,33,1039,1,0.6092396535129933,0.33589990375360923,0.023099133782483156,0.03176130895091434,1009,0.025024061597690085,0.0038498556304138597,0.971126082771896
10,Somerset,3771,Somerset Precinct 15-001,692,2874,91,26,2,114,3771,1,0.18350570140546274,0.762132060461416,0.02413153009811721,0.030230708035003977,3743,0.006894722885176346,0.0005303632988597189,0.992574913815964
11,Worcester,2315,Worcester Precinct 01-001,1155,1077,30,119,1,53,2315,1,0.49892008639308855,0.4652267818574514,0.012958963282937365,0.022894168466522678,2195,0.05140388768898488,0.00043196544276457883,0.9481641468682506
12,Somerset,919,Somerset Precinct 04-001,711,170,8,29,2,30,919,1,0.7736670293797606,0.18498367791077258,0.008705114254624592,0.03264417845484222,888,0.031556039173014146,0.002176278563656148,0.9662676822633297
13,Dorchester,70,Dorchester Precinct 18-001,65,0,0,2,0,5,70,1,0.9285714285714286,0.0,0.0,0.07142857142857142,68,0.02857142857142857,0.0,0.9714285714285714
14,Dorchester,49,Dorchester Precinct 11-001,44,0,3,5,0,2,49,1,0.8979591836734694,0.0,0.061224489795918366,0.04081632653061224,44,0.10204081632653061,0.0,0.8979591836734694
15,Dorchester,145,Dorchester Precinct 13-002,79,66,0,8,3,0,145,1,0.5448275862068965,0.45517241379310347,0.0,0.0,134,0.05517241379310345,0.020689655172413793,0.9241379310344827
