,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,COMP18D,COMP18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,COMP18None,COMP18D_pct,COMP18R_pct,COMP18None_pct
0,Somerset,404,Somerset Precinct 02-001,324,74,2,45,57,4,404,1.0,0.801980198019802,0.18316831683168316,0.0049504950495049506,0.009900990099009901,302,0.11138613861386139,0.14108910891089108,0.7475247524752475
1,Somerset,726,Somerset Precinct 05-001,591,124,2,142,144,9,726,1.0,0.8140495867768595,0.17079889807162535,0.0027548209366391185,0.012396694214876033,440,0.19559228650137742,0.19834710743801653,0.6060606060606061
2,Somerset,1165,Somerset Precinct 03-001,861,208,55,194,219,41,1165,1.0,0.7390557939914163,0.17854077253218884,0.04721030042918455,0.0351931330472103,752,0.16652360515021458,0.18798283261802576,0.6454935622317597
3,Somerset,217,Somerset Precinct 13-003,159,53,5,38,35,0,217,1.0,0.7327188940092166,0.24423963133640553,0.02304147465437788,0.0,144,0.17511520737327188,0.16129032258064516,0.663594470046083
4,Somerset,3664,Somerset Precinct 13-002,1072,2541,34,59,49,17,3664,1.0,0.2925764192139738,0.693504366812227,0.009279475982532752,0.004639737991266376,3556,0.016102620087336244,0.013373362445414847,0.9705240174672489
5,Somerset,151,Somerset Precinct 13-001,122,26,1,21,34,2,151,1.0,0.8079470198675497,0.17218543046357615,0.006622516556291391,0.013245033112582781,96,0.1390728476821192,0.2251655629139073,0.6357615894039735
6,Somerset,2355,Somerset Precinct 01-002,1257,928,129,306,141,41,2355,1.0,0.5337579617834395,0.3940552016985138,0.05477707006369427,0.01740976645435244,1908,0.12993630573248408,0.05987261146496815,0.8101910828025478
7,Somerset,186,Somerset Precinct 01-003,56,99,16,77,16,15,186,1.0,0.3010752688172043,0.532258064516129,0.08602150537634409,0.08064516129032258,93,0.41397849462365593,0.08602150537634409,0.5
8,Somerset,1267,Somerset Precinct 15-002,234,950,37,203,38,46,1267,1.0,0.18468823993685873,0.749802683504341,0.02920284135753749,0.036306235201262825,1026,0.16022099447513813,0.02999210734017364,0.8097868981846882
9,Somerset,1039,Somerset Precinct 01-001,633,349,24,137,85,33,1039,1.0,0.6092396535129933,0.33589990375360923,0.023099133782483156,0.03176130895091434,817,0.13185755534167468,0.08180943214629452,0.7863330125120308
10,Somerset,3771,Somerset Precinct 15-001,692,2874,91,127,89,114,3771,1.0,0.18350570140546274,0.762132060461416,0.02413153009811721,0.030230708035003977,3555,0.03367806947759215,0.02360116679925749,0.9427207637231504
11,Worcester,2315,Worcester Precinct 01-001,1155,1077,30,982,783,53,2315,1.0,0.49892008639308855,0.4652267818574514,0.012958963282937365,0.022894168466522678,550,0.4241900647948164,0.3382289416846652,0.23758099352051837
12,Somerset,919,Somerset Precinct 04-001,711,170,8,130,149,30,919,1.0,0.7736670293797606,0.18498367791077258,0.008705114254624592,0.03264417845484222,640,0.14145810663764963,0.16213275299238303,0.6964091403699674
13,Dorchester,70,Dorchester Precinct 18-001,65,0,0,12,15,5,70,1.0,0.9285714285714286,0.0,0.0,0.07142857142857142,43,0.17142857142857143,0.21428571428571427,0.6142857142857143
14,Dorchester,49,Dorchester Precinct 11-001,44,0,3,15,15,2,49,1.0,0.8979591836734694,0.0,0.061224489795918366,0.04081632653061224,19,0.30612244897959184,0.30612244897959184,0.3877551020408163
15,Dorchester,145,Dorchester Precinct 13-002,79,66,0,45,20,0,145,1.0,0.5448275862068965,0.45517241379310347,0.0,0.0,80,0.3103448275862069,0.13793103448275862,0.5517241379310345
16,Dorchester,206,Dorchester Precinct 17-001,169,34,1,63,31,2,206,1.0,0.8203883495145631,0.1650485436893204,0.0048543689320388345,0.009708737864077669,112,0.3058252427184466,0.15048543689320387,0.5436893203883495
17,Dorchester,63,Dorchester Precinct 14-002,39,22,1,24,6,1,63,1.0,0.6190476190476191,0.3492063492063492,0.015873015873015872,0.015873015873015872,33,0.38095238095238093,0.09523809523809523,0.5238095238095238
18,Wicomico,1349,Wicomico Precinct 17-001,1025,279,22,312,246,23,1349,1.0,0.759822090437361,0.20681986656782803,0.01630837657524092,0.01704966641957005,791,0.2312824314306894,0.18235730170496664,0.586360266864344
19,Dorchester,308,Dorchester Precinct 03-001,274,30,2,86,51,2,308,1.0,0.8896103896103896,0.09740259740259741,0.006493506493506494,0.006493506493506494,171,0.2792207792207792,0.16558441558441558,0.5551948051948052
20,Cecil,4593,Cecil Precinct 05-003,4361,81,64,776,1050,87,4593,1.0,0.9494883518397561,0.017635532331809273,0.01393424776834313,0.018941868060091443,2767,0.16895275419116046,0.2286087524493795,0.6024384933594601
21,Kent,1682,Kent Precinct 01-002,1494,76,88,423,309,24,1682,1.0,0.8882282996432818,0.04518430439952437,0.052318668252080855,0.014268727705112961,950,0.25148632580261593,0.18370986920332938,0.5648038049940547
22,Cecil,2280,Cecil Precinct 02-001,2088,46,119,343,468,27,2280,1.0,0.9157894736842105,0.02017543859649123,0.052192982456140354,0.011842105263157895,1469,0.15043859649122807,0.20526315789473684,0.644298245614035
23,Cecil,2076,Cecil Precinct 02-002,1934,67,38,312,401,37,2076,1.0,0.9315992292870906,0.03227360308285164,0.018304431599229287,0.017822736030828516,1363,0.15028901734104047,0.19315992292870907,0.6565510597302505
24,Cecil,4897,Cecil Precinct 05-002,4539,148,101,1024,1391,109,4897,1.0,0.9268940167449459,0.030222585256279355,0.02062487237083929,0.022258525627935472,2482,0.2091076169083112,0.2840514600775985,0.5068409230140902
25,Cecil,3665,Cecil Precinct 09-001,3546,38,37,584,970,44,3665,1.0,0.9675306957708049,0.010368349249658937,0.010095497953615279,0.012005457025920874,2111,0.15934515688949522,0.2646657571623465,0.5759890859481582
26,Cecil,2554,Cecil Precinct 05-004,2220,192,64,332,264,78,2554,1.0,0.8692247454972593,0.07517619420516837,0.025058731401722788,0.030540328895849646,1958,0.12999216914643696,0.1033672670321065,0.7666405638214565
27,Cecil,4984,Cecil Precinct 05-001,4641,146,92,466,514,105,4984,1.0,0.9311797752808989,0.029293739967897272,0.018459069020866775,0.021067415730337078,4004,0.0934991974317817,0.10313001605136436,0.8033707865168539
28,Cecil,7016,Cecil Precinct 03-002,6111,537,214,930,1012,154,7016,1.0,0.8710091220068416,0.07653933865450399,0.03050171037628278,0.02194982896237172,5074,0.13255416191562144,0.14424173318129987,0.7232041049030786
