,COUNTY,VAP,NAME,WVAP,PRES12D,PRES12R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,PRES12None,PRES12D_pct,PRES12R_pct,PRES12None_pct
0,Somerset,404,Somerset Precinct 02-001,324,72,145,80,404,1.0,0.801980198019802,0.19801980198019803,187,0.1782178217821782,0.3589108910891089,0.4628712871287129
1,Somerset,726,Somerset Precinct 05-001,591,144,267,135,726,1.0,0.8140495867768595,0.1859504132231405,315,0.19834710743801653,0.3677685950413223,0.43388429752066116
2,Somerset,1165,Somerset Precinct 03-001,861,236,393,304,1165,1.0,0.7390557939914163,0.2609442060085837,536,0.20257510729613734,0.3373390557939914,0.46008583690987126
3,Somerset,217,Somerset Precinct 13-003,159,38,63,58,217,1.0,0.7327188940092166,0.2672811059907834,116,0.17511520737327188,0.2903225806451613,0.5345622119815668
4,Somerset,3664,Somerset Precinct 13-002,1072,72,105,2592,3664,1.0,0.2925764192139738,0.7074235807860262,3487,0.019650655021834062,0.028657205240174673,0.9516921397379913
5,Somerset,151,Somerset Precinct 13-001,122,17,57,29,151,1.0,0.8079470198675497,0.19205298013245034,77,0.11258278145695365,0.37748344370860926,0.5099337748344371
6,Somerset,2355,Somerset Precinct 01-002,1257,381,326,1098,2355,1.0,0.5337579617834395,0.4662420382165605,1648,0.16178343949044585,0.13842887473460722,0.6997876857749469
7,Somerset,201,Somerset Precinct 01-003,61,140,60,140,201,1.075268817204301,0.3034825870646766,0.6965174129353234,1,0.6965174129353234,0.29850746268656714,0.004975124378109453
8,Somerset,1267,Somerset Precinct 15-002,234,492,80,1033,1267,1.0,0.18468823993685873,0.8153117600631413,695,0.388318863456985,0.06314127861089187,0.5485398579321231
9,Somerset,1039,Somerset Precinct 01-001,633,192,141,406,1039,1.0,0.6092396535129933,0.39076034648700675,706,0.18479307025986524,0.13570741097208855,0.6794995187680462
10,Somerset,3771,Somerset Precinct 15-001,692,444,105,3079,3771,1.0,0.18350570140546274,0.8164942985945373,3222,0.1177406523468576,0.02784407319013524,0.8544152744630071
11,Worcester,2315,Worcester Precinct 01-001,1155,867,494,1160,2315,1.0,0.49892008639308855,0.5010799136069114,954,0.37451403887688983,0.21339092872570195,0.4120950323974082
12,Somerset,919,Somerset Precinct 04-001,711,166,259,208,919,1.0,0.7736670293797606,0.22633297062023938,494,0.18063112078346028,0.28182807399347115,0.5375408052230686
13,Dorchester,70,Dorchester Precinct 18-001,65,10,31,5,70,1.0,0.9285714285714286,0.07142857142857142,29,0.14285714285714285,0.44285714285714284,0.4142857142857143
14,Dorchester,49,Dorchester Precinct 11-001,44,14,25,5,49,1.0,0.8979591836734694,0.10204081632653061,10,0.2857142857142857,0.5102040816326531,0.20408163265306123
15,Dorchester,145,Dorchester Precinct 13-002,79,66,29,66,145,1.0,0.5448275862068965,0.45517241379310347,50,0.45517241379310347,0.2,0.3448275862068966
16,Dorchester,206,Dorchester Precinct 17-001,169,37,83,37,206,1.0,0.8203883495145631,0.1796116504854369,86,0.1796116504854369,0.4029126213592233,0.4174757281553398
17,Dorchester,63,Dorchester Precinct 14-002,39,12,16,24,63,1.0,0.6190476190476191,0.38095238095238093,35,0.19047619047619047,0.25396825396825395,0.5555555555555556
18,Wicomico,1349,Wicomico Precinct 17-001,1025,380,387,324,1349,1.0,0.759822090437361,0.24017790956263899,582,0.28169014084507044,0.28687916975537436,0.4314306893995552
19,Dorchester,308,Dorchester Precinct 03-001,274,53,109,34,308,1.0,0.8896103896103896,0.11038961038961038,146,0.17207792207792208,0.3538961038961039,0.474025974025974
20,Cecil,4593,Cecil Precinct 05-003,4361,771,1590,232,4593,1.0,0.9494883518397561,0.05051164816024385,2232,0.16786414108425865,0.34617896799477466,0.48595689092096667
21,Kent,1682,Kent Precinct 01-002,1494,352,543,188,1682,1.0,0.8882282996432818,0.1117717003567182,787,0.20927467300832342,0.32282996432818073,0.46789536266349585
22,Cecil,2280,Cecil Precinct 02-001,2088,463,653,192,2280,1.0,0.9157894736842105,0.08421052631578947,1164,0.20307017543859648,0.2864035087719298,0.5105263157894737
23,Cecil,2076,Cecil Precinct 02-002,1934,460,561,142,2076,1.0,0.9315992292870906,0.06840077071290944,1055,0.22157996146435452,0.2702312138728324,0.5081888246628131
24,Cecil,4897,Cecil Precinct 05-002,4539,819,1475,358,4897,1.0,0.9268940167449459,0.07310598325505412,2603,0.16724525219522157,0.30120481927710846,0.53154992852767
25,Cecil,3665,Cecil Precinct 09-001,3546,546,1428,119,3665,1.0,0.9675306957708049,0.03246930422919509,1691,0.14897680763983628,0.38963165075034106,0.46139154160982265
26,Cecil,2554,Cecil Precinct 05-004,2220,394,429,334,2554,1.0,0.8692247454972593,0.1307752545027408,1731,0.15426781519185592,0.16797180892717306,0.677760375880971
27,Cecil,4984,Cecil Precinct 05-001,4641,797,1249,343,4984,1.0,0.9311797752808989,0.06882022471910113,2938,0.15991171749598715,0.2506019261637239,0.5894863563402889
