,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN16PD_CV,SEN16PD_DE,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN16PDNone,SEN16PD_CV_pct,SEN16PD_DE_pct,SEN16PDNone_pct
0,Somerset,404,Somerset Precinct 02-001,324,74,2,15,13,4,404,1,0.801980198019802,0.18316831683168316,0.0049504950495049506,0.009900990099009901,376,0.03712871287128713,0.03217821782178218,0.9306930693069307
1,Somerset,726,Somerset Precinct 05-001,591,124,2,29,28,9,726,1,0.8140495867768595,0.17079889807162535,0.0027548209366391185,0.012396694214876033,669,0.03994490358126722,0.03856749311294766,0.9214876033057852
2,Somerset,1165,Somerset Precinct 03-001,861,208,55,50,27,41,1165,1,0.7390557939914163,0.17854077253218884,0.04721030042918455,0.0351931330472103,1088,0.04291845493562232,0.02317596566523605,0.9339055793991416
3,Somerset,217,Somerset Precinct 13-003,159,53,5,7,5,0,217,1,0.7327188940092166,0.24423963133640553,0.02304147465437788,0.0,205,0.03225806451612903,0.02304147465437788,0.9447004608294931
4,Somerset,3664,Somerset Precinct 13-002,1072,2541,34,9,9,17,3664,1,0.2925764192139738,0.693504366812227,0.009279475982532752,0.004639737991266376,3646,0.0024563318777292577,0.0024563318777292577,0.9950873362445415
5,Somerset,151,Somerset Precinct 13-001,122,26,1,4,2,2,151,1,0.8079470198675497,0.17218543046357615,0.006622516556291391,0.013245033112582781,145,0.026490066225165563,0.013245033112582781,0.9602649006622517
6,Somerset,2355,Somerset Precinct 01-002,1257,928,129,56,74,41,2355,1,0.5337579617834395,0.3940552016985138,0.05477707006369427,0.01740976645435244,2225,0.0237791932059448,0.031422505307855626,0.9447983014861996
7,Somerset,186,Somerset Precinct 01-003,56,99,16,7,12,15,186,1,0.3010752688172043,0.532258064516129,0.08602150537634409,0.08064516129032258,167,0.03763440860215054,0.06451612903225806,0.8978494623655914
8,Somerset,1267,Somerset Precinct 15-002,234,950,37,25,46,46,1267,1,0.18468823993685873,0.749802683504341,0.02920284135753749,0.036306235201262825,1196,0.01973164956590371,0.036306235201262825,0.9439621152328335
9,Somerset,1039,Somerset Precinct 01-001,633,349,24,34,30,33,1039,1,0.6092396535129933,0.33589990375360923,0.023099133782483156,0.03176130895091434,975,0.032723772858517804,0.028873917228103944,0.9384023099133783
10,Somerset,3771,Somerset Precinct 15-001,692,2874,91,16,25,114,3771,1,0.18350570140546274,0.762132060461416,0.02413153009811721,0.030230708035003977,3730,0.0042429063908777515,0.006629541235746487,0.9891275523733758
11,Worcester,2315,Worcester Precinct 01-001,1155,1077,30,196,186,53,2315,1,0.49892008639308855,0.4652267818574514,0.012958963282937365,0.022894168466522678,1933,0.08466522678185745,0.08034557235421166,0.8349892008639309
12,Somerset,919,Somerset Precinct 04-001,711,170,8,35,14,30,919,1,0.7736670293797606,0.18498367791077258,0.008705114254624592,0.03264417845484222,870,0.03808487486398259,0.015233949945593036,0.9466811751904244
13,Dorchester,70,Dorchester Precinct 18-001,65,0,0,3,2,5,70,1,0.9285714285714286,0.0,0.0,0.07142857142857142,65,0.04285714285714286,0.02857142857142857,0.9285714285714286
14,Dorchester,49,Dorchester Precinct 11-001,44,0,3,3,2,2,49,1,0.8979591836734694,0.0,0.061224489795918366,0.04081632653061224,44,0.061224489795918366,0.04081632653061224,0.8979591836734694
15,Dorchester,145,Dorchester Precinct 13-002,79,66,0,9,14,0,145,1,0.5448275862068965,0.45517241379310347,0.0,0.0,122,0.06206896551724138,0.09655172413793103,0.8413793103448276
16,Dorchester,206,Dorchester Precinct 17-001,169,34,1,6,9,2,206,1,0.8203883495145631,0.1650485436893204,0.0048543689320388345,0.009708737864077669,191,0.02912621359223301,0.043689320388349516,0.9271844660194175
17,Dorchester,63,Dorchester Precinct 14-002,39,22,1,4,4,1,63,1,0.6190476190476191,0.3492063492063492,0.015873015873015872,0.015873015873015872,55,0.06349206349206349,0.06349206349206349,0.873015873015873
18,Wicomico,1349,Wicomico Precinct 17-001,1025,279,22,97,62,23,1349,1,0.759822090437361,0.20681986656782803,0.01630837657524092,0.01704966641957005,1190,0.07190511489992588,0.04595997034840623,0.8821349147516679
19,Dorchester,308,Dorchester Precinct 03-001,274,30,2,30,3,2,308,1,0.8896103896103896,0.09740259740259741,0.006493506493506494,0.006493506493506494,275,0.09740259740259741,0.00974025974025974,0.8928571428571429
20,Cecil,4593,Cecil Precinct 05-003,4361,81,64,201,77,87,4593,1,0.9494883518397561,0.017635532331809273,0.01393424776834313,0.018941868060091443,4315,0.043762246897452645,0.01676464184628783,0.9394731112562595
21,Kent,1682,Kent Precinct 01-002,1494,76,88,108,49,24,1682,1,0.8882282996432818,0.04518430439952437,0.052318668252080855,0.014268727705112961,1525,0.06420927467300833,0.029131985731272295,0.9066587395957194
22,Cecil,2280,Cecil Precinct 02-001,2088,46,119,107,63,27,2280,1,0.9157894736842105,0.02017543859649123,0.052192982456140354,0.011842105263157895,2110,0.04692982456140351,0.02763157894736842,0.9254385964912281
23,Cecil,2076,Cecil Precinct 02-002,1934,67,38,71,48,37,2076,1,0.9315992292870906,0.03227360308285164,0.018304431599229287,0.017822736030828516,1957,0.03420038535645472,0.023121387283236993,0.9426782273603083
24,Cecil,4897,Cecil Precinct 05-002,4539,148,101,110,52,109,4897,1,0.9268940167449459,0.030222585256279355,0.02062487237083929,0.022258525627935472,4735,0.022462732285072493,0.010618746171125178,0.9669185215438023
25,Cecil,3665,Cecil Precinct 09-001,3546,38,37,86,25,44,3665,1,0.9675306957708049,0.010368349249658937,0.010095497953615279,0.012005457025920874,3554,0.023465211459754432,0.0068212824010914054,0.9697135061391542
26,Cecil,2554,Cecil Precinct 05-004,2220,192,64,89,48,78,2554,1,0.8692247454972593,0.07517619420516837,0.025058731401722788,0.030540328895849646,2417,0.03484729835552075,0.018794048551292093,0.9463586530931871
