,COUNTY,VAP,NAME,WVAP,COMP14D,COMP14R,OVAP,TOT_VOTES,factor,WVAP_pct,OVAP_pct,COMP14None,COMP14D_pct,COMP14R_pct,COMP14None_pct
0,Somerset,404,Somerset Precinct 02-001,324,72,90,80,404,1.0,0.801980198019802,0.19801980198019803,242,0.1782178217821782,0.22277227722772278,0.599009900990099
1,Somerset,726,Somerset Precinct 05-001,591,134,188,135,726,1.0,0.8140495867768595,0.1859504132231405,404,0.18457300275482094,0.25895316804407714,0.5564738292011019
2,Somerset,1165,Somerset Precinct 03-001,861,180,263,304,1165,1.0,0.7390557939914163,0.2609442060085837,722,0.15450643776824036,0.2257510729613734,0.6197424892703862
3,Somerset,217,Somerset Precinct 13-003,159,29,52,58,217,1.0,0.7327188940092166,0.2672811059907834,136,0.1336405529953917,0.23963133640552994,0.6267281105990783
4,Somerset,3664,Somerset Precinct 13-002,1072,59,57,2592,3664,1.0,0.2925764192139738,0.7074235807860262,3548,0.016102620087336244,0.015556768558951965,0.9683406113537117
5,Somerset,151,Somerset Precinct 13-001,122,12,38,29,151,1.0,0.8079470198675497,0.19205298013245034,101,0.07947019867549669,0.25165562913907286,0.6688741721854304
6,Somerset,2355,Somerset Precinct 01-002,1257,296,206,1098,2355,1.0,0.5337579617834395,0.4662420382165605,1853,0.1256900212314225,0.08747346072186836,0.7868365180467092
7,Somerset,186,Somerset Precinct 01-003,56,36,33,130,186,1.0,0.3010752688172043,0.6989247311827957,117,0.1935483870967742,0.1774193548387097,0.6290322580645161
8,Somerset,1267,Somerset Precinct 15-002,234,159,61,1033,1267,1.0,0.18468823993685873,0.8153117600631413,1047,0.1254932912391476,0.04814522494080505,0.8263614838200474
9,Somerset,1039,Somerset Precinct 01-001,633,96,90,406,1039,1.0,0.6092396535129933,0.39076034648700675,853,0.09239653512993262,0.08662175168431184,0.8209817131857555
10,Somerset,3771,Somerset Precinct 15-001,692,108,77,3079,3771,1.0,0.18350570140546274,0.8164942985945373,3586,0.028639618138424822,0.020418987006099176,0.950941394855476
11,Worcester,2315,Worcester Precinct 01-001,1155,728,834,1160,2315,1.0,0.49892008639308855,0.5010799136069114,753,0.3144708423326134,0.36025917926565876,0.3252699784017279
12,Somerset,919,Somerset Precinct 04-001,711,109,187,208,919,1.0,0.7736670293797606,0.22633297062023938,623,0.11860718171926006,0.20348204570184983,0.6779107725788901
13,Dorchester,70,Dorchester Precinct 18-001,65,10,15,5,70,1.0,0.9285714285714286,0.07142857142857142,45,0.14285714285714285,0.21428571428571427,0.6428571428571429
14,Dorchester,49,Dorchester Precinct 11-001,44,11,18,5,49,1.0,0.8979591836734694,0.10204081632653061,20,0.22448979591836735,0.3673469387755102,0.40816326530612246
15,Dorchester,145,Dorchester Precinct 13-002,79,41,12,66,145,1.0,0.5448275862068965,0.45517241379310347,92,0.2827586206896552,0.08275862068965517,0.6344827586206897
16,Dorchester,206,Dorchester Precinct 17-001,169,60,27,37,206,1.0,0.8203883495145631,0.1796116504854369,119,0.2912621359223301,0.13106796116504854,0.5776699029126213
17,Dorchester,63,Dorchester Precinct 14-002,39,17,6,24,63,1.0,0.6190476190476191,0.38095238095238093,40,0.2698412698412698,0.09523809523809523,0.6349206349206349
