,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN18D,SEN18R,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN18None,SEN18D_pct,SEN18R_pct,SEN18None_pct
0,Somerset,404,Somerset Precinct 02-001,324,74,2,34,73,4,404,1.0,0.801980198019802,0.18316831683168316,0.0049504950495049506,0.009900990099009901,297,0.08415841584158416,0.1806930693069307,0.7351485148514851
1,Somerset,726,Somerset Precinct 05-001,591,124,2,88,193,9,726,1.0,0.8140495867768595,0.17079889807162535,0.0027548209366391185,0.012396694214876033,445,0.12121212121212122,0.26584022038567495,0.6129476584022039
2,Somerset,1165,Somerset Precinct 03-001,861,208,55,154,264,41,1165,1.0,0.7390557939914163,0.17854077253218884,0.04721030042918455,0.0351931330472103,747,0.13218884120171673,0.22660944206008585,0.6412017167381975
3,Somerset,217,Somerset Precinct 13-003,159,53,5,28,44,0,217,1.0,0.7327188940092166,0.24423963133640553,0.02304147465437788,0.0,145,0.12903225806451613,0.20276497695852536,0.6682027649769585
4,Somerset,3664,Somerset Precinct 13-002,1072,2541,34,44,62,17,3664,1.0,0.2925764192139738,0.693504366812227,0.009279475982532752,0.004639737991266376,3558,0.012008733624454149,0.016921397379912665,0.9710698689956332
5,Somerset,151,Somerset Precinct 13-001,122,26,1,17,39,2,151,1.0,0.8079470198675497,0.17218543046357615,0.006622516556291391,0.013245033112582781,95,0.11258278145695365,0.2582781456953642,0.6291390728476821
6,Somerset,2355,Somerset Precinct 01-002,1257,928,129,277,170,41,2355,1.0,0.5337579617834395,0.3940552016985138,0.05477707006369427,0.01740976645435244,1908,0.11762208067940552,0.07218683651804671,0.8101910828025478
7,Somerset,186,Somerset Precinct 01-003,56,99,16,72,20,15,186,1.0,0.3010752688172043,0.532258064516129,0.08602150537634409,0.08064516129032258,94,0.3870967741935484,0.10752688172043011,0.5053763440860215
8,Somerset,1267,Somerset Precinct 15-002,234,950,37,199,46,46,1267,1.0,0.18468823993685873,0.749802683504341,0.02920284135753749,0.036306235201262825,1022,0.15706393054459353,0.036306235201262825,0.8066298342541437
9,Somerset,1039,Somerset Precinct 01-001,633,349,24,119,101,33,1039,1.0,0.6092396535129933,0.33589990375360923,0.023099133782483156,0.03176130895091434,819,0.11453320500481232,0.09720885466794996,0.7882579403272377
