,COUNTY,VAP,NAME,WVAP,BVAP,HVAP,SEN12PD_BC,SEN12PD_CM,OVAP,TOT_VOTES,factor,WVAP_pct,BVAP_pct,HVAP_pct,OVAP_pct,SEN12PDNone,SEN12PD_BC_pct,SEN12PD_CM_pct,SEN12PDNone_pct
0,Somerset,404,Somerset Precinct 02-001,324,74,2,10,3,4,404,1,0.801980198019802,0.18316831683168316,0.0049504950495049506,0.009900990099009901,391,0.024752475247524754,0.007425742574257425,0.9678217821782178
1,Somerset,726,Somerset Precinct 05-001,591,124,2,29,2,9,726,1,0.8140495867768595,0.17079889807162535,0.0027548209366391185,0.012396694214876033,695,0.03994490358126722,0.0027548209366391185,0.9573002754820936
2,Somerset,1165,Somerset Precinct 03-001,861,208,55,24,0,41,1165,1,0.7390557939914163,0.17854077253218884,0.04721030042918455,0.0351931330472103,1141,0.020600858369098713,0.0,0.9793991416309012
3,Somerset,217,Somerset Precinct 13-003,159,53,5,4,1,0,217,1,0.7327188940092166,0.24423963133640553,0.02304147465437788,0.0,212,0.018433179723502304,0.004608294930875576,0.9769585253456221
4,Somerset,3664,Somerset Precinct 13-002,1072,2541,34,8,0,17,3664,1,0.2925764192139738,0.693504366812227,0.009279475982532752,0.004639737991266376,3656,0.002183406113537118,0.0,0.9978165938864629
5,Somerset,151,Somerset Precinct 13-001,122,26,1,1,0,2,151,1,0.8079470198675497,0.17218543046357615,0.006622516556291391,0.013245033112582781,150,0.006622516556291391,0.0,0.9933774834437086
6,Somerset,2355,Somerset Precinct 01-002,1257,928,129,44,6,41,2355,1,0.5337579617834395,0.3940552016985138,0.05477707006369427,0.01740976645435244,2305,0.018683651804670912,0.0025477707006369425,0.9787685774946921
7,Somerset,186,Somerset Precinct 01-003,56,99,16,11,0,15,186,1,0.3010752688172043,0.532258064516129,0.08602150537634409,0.08064516129032258,175,0.05913978494623656,0.0,0.9408602150537635
8,Somerset,1267,Somerset Precinct 15-002,234,950,37,29,4,46,1267,1,0.18468823993685873,0.749802683504341,0.02920284135753749,0.036306235201262825,1234,0.022888713496448304,0.0031570639305445935,0.9739542225730071
9,Somerset,1039,Somerset Precinct 01-001,633,349,24,18,4,33,1039,1,0.6092396535129933,0.33589990375360923,0.023099133782483156,0.03176130895091434,1017,0.017324350336862367,0.0038498556304138597,0.9788257940327237
10,Somerset,3771,Somerset Precinct 15-001,692,2874,91,13,2,114,3771,1,0.18350570140546274,0.762132060461416,0.02413153009811721,0.030230708035003977,3756,0.003447361442588173,0.0005303632988597189,0.9960222752585521
11,Worcester,2315,Worcester Precinct 01-001,1155,1077,30,71,1,53,2315,1,0.49892008639308855,0.4652267818574514,0.012958963282937365,0.022894168466522678,2243,0.030669546436285097,0.00043196544276457883,0.9688984881209504
12,Somerset,919,Somerset Precinct 04-001,711,170,8,24,2,30,919,1,0.7736670293797606,0.18498367791077258,0.008705114254624592,0.03264417845484222,893,0.026115342763873776,0.002176278563656148,0.9717083786724701
13,Dorchester,70,Dorchester Precinct 18-001,65,0,0,2,0,5,70,1,0.9285714285714286,0.0,0.0,0.07142857142857142,68,0.02857142857142857,0.0,0.9714285714285714
14,Dorchester,49,Dorchester Precinct 11-001,44,0,3,5,0,2,49,1,0.8979591836734694,0.0,0.061224489795918366,0.04081632653061224,44,0.10204081632653061,0.0,0.8979591836734694
15,Dorchester,145,Dorchester Precinct 13-002,79,66,0,6,3,0,145,1,0.5448275862068965,0.45517241379310347,0.0,0.0,136,0.041379310344827586,0.020689655172413793,0.9379310344827586
16,Dorchester,206,Dorchester Precinct 17-001,169,34,1,13,1,2,206,1,0.8203883495145631,0.1650485436893204,0.0048543689320388345,0.009708737864077669,192,0.06310679611650485,0.0048543689320388345,0.9320388349514563
17,Dorchester,63,Dorchester Precinct 14-002,39,22,1,0,0,1,63,1,0.6190476190476191,0.3492063492063492,0.015873015873015872,0.015873015873015872,63,0.0,0.0,1.0
18,Wicomico,1349,Wicomico Precinct 17-001,1025,279,22,71,1,23,1349,1,0.759822090437361,0.20681986656782803,0.01630837657524092,0.01704966641957005,1277,0.05263157894736842,0.0007412898443291327,0.9466271312083024
19,Dorchester,308,Dorchester Precinct 03-001,274,30,2,11,0,2,308,1,0.8896103896103896,0.09740259740259741,0.006493506493506494,0.006493506493506494,297,0.03571428571428571,0.0,0.9642857142857143
20,Cecil,4593,Cecil Precinct 05-003,4361,81,64,170,2,87,4593,1,0.9494883518397561,0.017635532331809273,0.01393424776834313,0.018941868060091443,4421,0.037012845634661444,0.00043544524276072284,0.9625517091225778
21,Kent,1682,Kent Precinct 01-002,1494,76,88,80,2,24,1682,1,0.8882282996432818,0.04518430439952437,0.052318668252080855,0.014268727705112961,1600,0.04756242568370987,0.0011890606420927466,0.9512485136741974
